Obuoliai JOLLY RED dyd. 60 1kg,991860700000,3
Lietuviki obuoliai dyd. 60 1kg,991860900000,80
Obuoliai GOLDEN 70 1kg,991861700000,385
991862500000,991862500000,6
PERSIMONAI 1kg,991863300000,2541
Persikai  1kg,991863500000,28
Ploktieji persikai 1kg,991863600000,3
Geltonosios paprikos dyd. GGG 7090mm,991867000000,95
Raudonosios paprikos dyd. GGG 7090mm,991867400000,1342
aliosios paprikos dyd. GGG 7090mm,991867500000,66
Atrioji paprika 1kg,991867700000,80
Juodieji pomidorai ADORA dyd. 4757 mm,991868000000,217
Baltoji paprika 1kg,991868100000,11
Avietiniai pomidorai dyd. B 5767mm,991868200000,1094
Pomidorai 1kg,991869200000,1361
Kekiniai pomidorai1kg,991869300000,4
Pomidorai KUMATO dyd. AB 4767mm 1k,991869500000,30
Pomidorai uaug. po danga dyd. BBB 5,991869600000,466
991869800000,991869800000,401
Smulkiavaisiai slyviniai pomidorai 1kg,991869900000,708
Porai 1kg,991871000000,17
paragins pupels1kg,991871500000,5
Baltieji ridikai 1kg,991873000000,103
Juodieji ridikai 1kg,991875000000,34
Sveriami raudonieji ridikliai 1kg,991877000000,29
Salier gumbai 1kg,991878000000,240
Salier stiebai 1kg,991879000000,89
Slyvos 1kg,991881000000,88
Fasuoti svognai 1kg,991882200000,1727
Raudonieji svognai 1kg,991882300000,440
Balti svognai 1kg,991882500000,300
Raudonosios vynuogs 1kg,991884000000,299
Mlynosios vynuogs 1kg,991884200000,23
aliosios vynuogs 1kg,991884300000,367
Beskls vynuogs SULTANA 1kg,991884500000,1
aliosios beskls vynuogs 1kg,991884600000,8
Trens1kg,991886000000,1
Diovinti abrikosai 1kg,991900200000,36
Aguonos 1kg,991901000000,3
Anakardi rieutai 1kg,991902000000,20
Banan trakuiai 1kg,991904100000,17
Diovintos datuls be kaulo 1kg,991906100000,28
Graikiniai rieutai su kevalu 1kg,991908100000,31
Graikini rieut branduoliai 1kg,991908200000,60
Diovint spanguoli pusels 1kg,991908300000,26
Lazdyn rieut branduoliai 1kg,991911000000,30
Lazdyn rieutai su kevalu 1kg,991911100000,10
Blaniruoti lazdyn rieutai 1kg,991911200000,2
Migdol rieutai 1kg,991912000000,54
Neluktentos molig sklos 1kg,991913100000,1
Pistacij branduoliai 1kg,991915000000,1
Pistacijos kepintos ir sdytos 1kg,991915100000,36
Razinos GOLDEN 1kg,991916100000,8
Razinos 1kg,991916400000,60
Razinos JUMBO 1kg,991916500000,21
Razinos GOLDEN JUMBO 1kg,991916600000,12
Saulgr branduoliai 1kg,991918000000,15
Neluktentos saulgros dryuotos1kg,991918100000,14
Nelukt. juodos saulgros 1kg,991918200000,1
Diovintos slyvos  1kg,991919000000,2
Rieut ir razin miinys GAR2 1kg,991920000000,66
Rieut miinys GAR2,991920200000,42
Diovint vaisi miinys1 kg,991921100000,2
Migdolo rieutai skrud.su medumi1kg,991921600000,3
ems rieutai su svognais JGA,991921900000,7
ems rieut branduoliai 1kg,991922000000,15
ems rieutai be odels 1kg,991922100000,12
ems rieutai su kevalu 1kg,991922300000,20
ems rieutai su paprika Jga 1kg,991922400000,2
ems rieutai su prieskoniais  1kg,991922500000,5
Kepinti ir sdyti ems rieutai 1kg,991922600000,13
Skrudinti ems rie.su medumi  JGA1kg,991923200000,12
Meduje skrud. lazdyn rieutai Jga1kg,991923300000,3
Cukruoti diovinti greipfrutai1kg,991926000000,8
Pekano rieutai 1 kg,991930000000,31
ems rieutai apvalkale ROIS BEER1kg,991937000000,6
ems rieutai ROIS griet.ir svog.sk.1kg,991939000000,3
Saldainiai KOKOSINIAI 1kg,992100300000,1
Saldainiai LAIMOVOJE TRULIALIA,992100500000,18
Saldainiai ZOLOTOJ STEP,992100900000,16
Sald.KONAFETTO su lazd. rie.kremu,992101300000,10
Saldainiai SLAST,992101600000,13
Saldainiai MASKA,992101700000,94
DarLeta ernosliv kremmoloko v ok.,992101800000,12
Saldainiai KROWKA KRUCHUTKA,992102100000,157
Irisas KRPY,992102300000,9
Karamel VKUSIA MIX,992102400000,16
Saldainiai CHOCO LUCK su aguonomis,992102600000,95
Saldainiai PTIJE MOLOKO,992103100000,4
Saldainiai MURKINY ZABAVY,992103300000,14
Saldainiai ATTACHE,992103400000,25
Saldainiai NEENKA egzotika,992103600000,1
Saldainiai KOROVKA Sufle1kg,992104000000,71
Sald. BRITTLE MIX  IN GLAZE,992104100000,1
Saldainiai MARMELADUKAI,992104200000,13
Saldainiai TOFFINO Choco,992104900000,1
Saldainiai DETSKIJ SUVENIR,992105000000,3
Saldainiai NOMEDA,992105800000,289
Saldainiai PERGAL Cherry,992105900000,130
Saldainiai PERGAL MIX,992106000000,2
Sald.SWEET TRAVEL su karam.ir .rie.,992106600000,12
Zefyras su karamelizuotu pienu GARDUMIN,992107400000,4
Zefyras su sausaniu OZEFINA,992107500000,14
Sald. MALENKOJE IUDO SLIVONOJE,992107600000,9
Saldainiai AKLIN braki baziliko skon,992107800000,3
Sald. ELEJNYJE juod.serbent sk.1kg,992108200000,5
Saldainiai KOKO CHOK,992108700000,15
Saulgr. branduoli kozinakas ZOLOTOI VE,992108800000,202
Saldainiai su likeriu SOSTINS 1kg,992109000000,143
Saldainiai PUPA,992109200000,178
Saldainiai RAUDONOJI AGUONA,992109300000,164
Guminukai MEKIUKAI,992109400000,5
Karamel LINKSMOSIOS SKILTELS,992109500000,7
Saldainiai VILNIUS 1kg,992109700000,221
Saldainiai KREGDUT,992109800000,75
Saldainiai STEP MIX,992110400000,51
ANANASINIAI saldainiai,992110900000,324
Saldainiai STEP GRILIAAS,992111200000,18
Irisai su el. d. MINKYBINKY,992112600000,16
Saldainiai SOUFFLE SALDI SALA,992113300000,38
Saldainiai KRASNAJA APOKA1kg,992113400000,121
Saldainiai FORTNA,992114600000,4
Saldainiai LA BOHEME ODO,992116000000,1
Saldainiai ELEJNYJE raugerikio skonio,992118300000,148
Saldainiai FRUTLANDIJA,992119800000,12
Saldainiai POUFFLE,992123100000,290
Glaistytas zefyras,992123400000,2
Saldainiai ZOLOTOJ KLIUIK,992123700000,23
Saldainiai LOIS,992131000000,81
Saldainiai JOY NUT,992131700000,11
Irisai AUKSINIS RAKTELIS,992133300000,4
Saldaini rinkinys SHARLET,992133800000,9
Saldainiai GOLDEN LILY,992136900000,19
Saldainiai IO RIO,992137700000,12
Saldainiai CHERRY JELLY,992138500000,2
Saldainiai ZOLUKA 1kg,992138800000,16
Saldainiai ZOLOTAJA STREKOZA,992138900000,4
Saldainiai TOFFE CREAM 1 kg,992139400000,23
Karamel FRUDDIMIX 1kg3.5,992139600000,2
Karamels skonio sald. ALIONKA 7,992139800000,15
Saldainiai BON BONEL,992140600000,4
Saldainiai MARSIJANKA panakota skonio,992140700000,1
VILNIUS su kalendra ir  vyniomis,992141300000,1
Saldainiai GLEIS okolado skonio,992141500000,83
Karamel CHOKO CHIMBA,992141700000,3
Karamel CHRUSTIAKA,992142100000,1
Saldainiai GLEIS griet. skonio,992142400000,161
Saldainiai VERSAL,992142500000,20
Citrin skonio vaflis,992144300000,28
Saldainiai VYNIOVOJE TRULIALIA,992144500000,2
Sald. SOSTINS su valerijonu ir  vyniom,992144800000,3
Saldainiai MAGIJA,992145300000,2
Saldainiai MASKA,992145400000,2
Saldainiai GULBS SAPNAS,992145500000,239
Sald. BELOVEO GIRIA su spang. tyre,992145900000,199
Saldainiai KOVBOJ DONI1kg,992147500000,67
Braki su grietinle skonio karamel,992148100000,4
Saldainiai MAMA PRIECHALA,992148200000,25
Saldainiai KINOCORN,992148400000,15
Karamel SLIVONAJA M1kg,992149600000,4
Sald. MONT BLANC su migdolais kg,992150500000,1
Saldainiai MEGA DRIVE,992151300000,19
Saldainiai COCO JUMBO,992151600000,5
Saldainiai SHERWOOD,992152000000,3
Saldainiai ADO VINIOVOJE,992152300000,2
Saulgr chalva su em.rie.1kg,992152800000,90
Saulgr.chalva MILK SOFTNESS,992152900000,30
Saldainiai FRESH  FRUITY,992165000000,1
Saldainiai CHIO CHIO NUT,992168000000,1
992169000000,992169000000,169
Mlyni skonio karamel JAGODNAJA POLIANA,992170000000,10
Karamel FUNNY BOOM,992172000000,21
Karamel ANGRY SOUR,992173000000,11
Saldainiai BONASIE su lazd.rie.,992174000000,13
Saldainiai BONASIE su apelsinais,992175200000,24
Saldainiai BONFETTI NUGA,992175400000,30
Glaistyta vanilin saulgra chalva,992176100000,69
Saldainiai TRAKUSIS VKUSIA,992176200000,34
Vir. pieno skonio saldainiai VER,992176400000,19
Saldainiai GRUA,992176600000,7
Saldainiai MANGO,992176700000,16
Saldainiai INIR,992176900000,3
Sald. BELOVEO GIRIA su obuol. tyre,992177200000,110
Sald. NOMEDA Winter time,992177300000,18
Sald. KARVUT WAWEL karam. sk. kg,992177800000,1
Saldainiai FINIK,992177900000,8
Saldainiai LOKKI okoladinio skonio,992178100000,1
992178800000,992178800000,271
Saldainiai KURAGA,992180100000,48
Saldainiai NOMEDA su imb. ir melionu kg,992180800000,98
Saldainiai SANTA CLAUS,992181200000,3
992182000000,992182000000,1
Anyi skonio karamel ROSHEN ANIS,992182400000,95
Saldainiai Jelly,992182500000,23
Saldainiai Crazy Bee Frutty,992182600000,49
Karamel su pieno daru SWEET DROP,992182900000,63
Vafliniai saldainiai LAZY COW,992183200000,205
Karamel SLYVA,992183400000,4
